id,laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,SSD_GB,HDD_GB,Hybrid_GB,Flash_GB,ScreenResolution_clean,Width_px,Height_px,PPI,IPS,Touchscreen,FullHD,QuadHD,UltraHD_4K,Retina,CPU_Marca,CPU_Serie,CPU_GHz,GPU_Marca,GPU_Tipo
268,1002,Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8.0,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36,749.0,0.0,1024.0,0.0,0.0,1366x768,1366,768,100.45466986113651,0,0,0,0,0,0,Intel,i7,2.7,AMD,Radeon
347,867,Asus,X541NA (N4200/4GB/1TB/W10),Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4.0,1TB HDD,Intel HD Graphics 505,Windows 10,2.0,449.0,0.0,1024.0,0.0,0.0,1366x768,1366,768,100.45466986113651,0,0,0,0,0,0,Intel,Pentium,1.1,Intel,HD Graphics
353,966,Toshiba,Portege Z30-C-1CW,Notebook,13.3,Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 7,1.2,1460.0,256.0,0.0,0.0,0.0,1920x1080,1920,1080,165.6321180513006,0,0,1,0,0,0,Intel,i5,2.3,Intel,HD Graphics
578,767,Dell,Alienware 17,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42,2868.99,256.0,1024.0,0.0,0.0,3840x2160,3840,2160,282.42399616439724,1,0,0,0,1,0,Intel,i7,2.8,Nvidia,GeForce
42,1241,Dell,Latitude E7270,Ultrabook,12.5,Full HD / Touchscreen 1920x1080,Intel Core i5 6300U 2.4GHz,8.0,256GB SSD,Intel HD Graphics 520,Windows 7,1.26,1713.37,256.0,0.0,0.0,0.0,1920x1080,1920,1080,176.23257360658386,0,1,1,0,0,0,Intel,i5,2.4,Intel,HD Graphics
867,376,Asus,ZenBook Flip,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12.0,512GB SSD +  2TB HDD,Nvidia GeForce GT 940MX,Windows 10,2.26,1099.0,512.0,2048.0,0.0,0.0,1920x1080,1920,1080,141.21199808219862,0,1,1,0,0,0,Intel,i7,2.7,Nvidia,GeForce
1136,60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,256GB SSD,Intel HD Graphics 520,Linux,2.0,415.0,256.0,0.0,0.0,0.0,1920x1080,1920,1080,141.21199808219862,0,0,1,0,0,0,Intel,i3,2.0,Intel,HD Graphics
609,1157,MSI,GP62M 7RDX,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.4,1142.8,128.0,1024.0,0.0,0.0,1920x1080,1920,1080,141.21199808219862,0,0,1,0,0,0,Intel,i7,2.8,Nvidia,GeForce
474,110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.3,1193.0,256.0,0.0,0.0,0.0,1920x1080,1920,1080,157.3505121487356,1,0,1,0,0,0,Intel,i7,2.7,Nvidia,GeForce
838,1263,Asus,Rog GL553VE-FY052T,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1600.0,256.0,1024.0,0.0,0.0,1920x1080,1920,1080,141.21199808219862,1,0,1,0,0,0,Intel,i7,2.8,Nvidia,GeForce
